iteration,loss,suboptimality,grad_norm,optimizer,problem
0,0.0,0.5,1.4142135623730951,heavy_ball_lr0.01_m0.9,quadratic_dim2_A2.0_b1.0
1,-0.0198,0.4802,1.3859292911256331,heavy_ball_lr0.01_m0.9,quadratic_dim2_A2.0_b1.0
2,-0.05594112,0.44405888,1.3327548611804048,heavy_ball_lr0.01_m0.9,quadratic_dim2_A2.0_b1.0
3,-0.10420627852799999,0.395793721472,1.258242777006091,heavy_ball_lr0.01_m0.9,quadratic_dim2_A2.0_b1.0
4,-0.1601010622789632,0.3398989377210368,1.166017045709087,heavy_ball_lr0.01_m0.9,quadratic_dim2_A2.0_b1.0
5,-0.21926239680895376,0.28073760319104624,1.0596935466276016,heavy_ball_lr0.01_m0.9,quadratic_dim2_A2.0_b1.0
6,-0.27777802057948925,0.22222197942051075,0.9428085265217128,heavy_ball_lr0.01_m0.9,quadratic_dim2_A2.0_b1.0
7,-0.3324097194778136,0.16759028052218639,0.8187558378959785,heavy_ball_lr0.01_m0.9,quadratic_dim2_A2.0_b1.0
8,-0.3807218765929336,0.1192781234070664,0.6907333013748979,heavy_ball_lr0.01_m0.9,quadratic_dim2_A2.0_b1.0
9,-0.42112374020575505,0.07887625979424495,0.5616983524784276,heavy_ball_lr0.01_m0.9,quadratic_dim2_A2.0_b1.0
10,-0.4528387261705853,0.04716127382941471,0.43433293142203566,heavy_ball_lr0.01_m0.9,quadratic_dim2_A2.0_b1.0
11,-0.4758170451818016,0.024182954818198377,0.3110173938428422,heavy_ball_lr0.01_m0.9,quadratic_dim2_A2.0_b1.0
12,-0.49060912423552255,0.009390875764477447,0.1938130621447113,heavy_ball_lr0.01_m0.9,quadratic_dim2_A2.0_b1.0
13,-0.49821692682017304,0.001783073179826955,0.08445290237349923,heavy_ball_lr0.01_m0.9,quadratic_dim2_A2.0_b1.0
14,-0.4999386887551427,6.131124485730943e-05,0.015660299468061568,heavy_ball_lr0.01_m0.9,quadratic_dim2_A2.0_b1.0
15,-0.4972201284106863,0.0027798715893136983,0.10544897513610497,heavy_ball_lr0.01_m0.9,quadratic_dim2_A2.0_b1.0
16,-0.49152221244612504,0.00847778755387496,0.18414980373462217,heavy_ball_lr0.01_m0.9,quadratic_dim2_A2.0_b1.0
17,-0.4842123849139701,0.015787615086029883,0.251297553398595,heavy_ball_lr0.01_m0.9,quadratic_dim2_A2.0_b1.0
