iteration,loss,suboptimality,grad_norm,optimizer,problem
0,0.0,0.05,1.4142135623730951,heavy_ball_lr0.01_m0.5,quadratic_dim2_A20.0_b1.0
1,-0.018000000000000002,0.032,1.1313708498984762,heavy_ball_lr0.01_m0.5,quadratic_dim2_A20.0_b1.0
2,-0.03542,0.014580000000000003,0.7636753236814714,heavy_ball_lr0.01_m0.5,quadratic_dim2_A20.0_b1.0
3,-0.0454398,0.0045602,0.42709249583667475,heavy_ball_lr0.01_m0.5,quadratic_dim2_A20.0_b1.0
4,-0.049248462,0.000751538000000003,0.17338258274694152,heavy_ball_lr0.01_m0.5,quadratic_dim2_A20.0_b1.0
5,-0.04999648878,3.5112200000020355e-06,0.011851109652686613,heavy_ball_lr0.01_m0.5,quadratic_dim2_A20.0_b1.0
6,-0.0498729617582,0.00012703824179999962,0.07128484882497815,heavy_ball_lr0.01_m0.5,quadratic_dim2_A20.0_b1.0
7,-0.049756971418158,0.00024302858184200443,0.09859585829881504,heavy_ball_lr0.01_m0.5,quadratic_dim2_A20.0_b1.0
8,-0.04978594483897902,0.00021405516102098593,0.09253219137597053,heavy_ball_lr0.01_m0.5,quadratic_dim2_A20.0_b1.0
9,-0.049873996584356026,0.0001260034156439771,0.07099391963935402,heavy_ball_lr0.01_m0.5,quadratic_dim2_A20.0_b1.0
10,-0.049947040183460904,5.295981653909848e-05,0.046025999843174896,heavy_ball_lr0.01_m0.5,quadratic_dim2_A20.0_b1.0
11,-0.04998519295549902,1.4807044500984856e-05,0.02433683997645048,heavy_ball_lr0.01_m0.5,quadratic_dim2_A20.0_b1.0
12,-0.04999814028092909,1.8597190709138123e-06,0.0086248920477983,heavy_ball_lr0.01_m0.5,quadratic_dim2_A20.0_b1.0
13,-0.04999997714871632,2.285128368473277e-08,0.000956060326087637,heavy_ball_lr0.01_m0.5,quadratic_dim2_A20.0_b1.0
14,-0.049999228459256986,7.715407430164412e-07,0.005555324447813047,heavy_ball_lr0.01_m0.5,quadratic_dim2_A20.0_b1.0
15,-0.04999886299814574,1.1370018542650184e-06,0.00674389161911297,heavy_ball_lr0.01_m0.5,quadratic_dim2_A20.0_b1.0
16,-0.04999910317812506,8.968218749433321e-07,0.005989396880940384,heavy_ball_lr0.01_m0.5,quadratic_dim2_A20.0_b1.0
17,-0.04999951285547923,4.871445207707548e-07,0.004414270135665983,heavy_ball_lr0.01_m0.5,quadratic_dim2_A20.0_b1.0
18,-0.04999981178180409,1.8821819591091637e-07,0.0027438527358957117,heavy_ball_lr0.01_m0.5,quadratic_dim2_A20.0_b1.0
19,-0.049999953768602355,4.623139764764472e-08,0.0013598734888312296,heavy_ball_lr0.01_m0.5,quadratic_dim2_A20.0_b1.0
20,-0.049999996081398275,3.918601727825877e-09,0.0003959091675327896,heavy_ball_lr0.01_m0.5,quadratic_dim2_A20.0_b1.0
21,-0.04999999931727105,6.827289497635114e-10,0.00016525482662297256,heavy_ball_lr0.01_m0.5,quadratic_dim2_A20.0_b1.0
22,-0.049999995740195875,4.259804127493272e-09,0.00041278585837621205,heavy_ball_lr0.01_m0.5,quadratic_dim2_A20.0_b1.0
23,-0.049999994847231596,5.1527684064023305e-09,0.0004539942025776208,heavy_ball_lr0.01_m0.5,quadratic_dim2_A20.0_b1.0
24,-0.04999999631744795,3.6825520549621515e-09,0.0003837995341624556,heavy_ball_lr0.01_m0.5,quadratic_dim2_A20.0_b1.0
25,-0.04999999815118473,1.848815274485549e-09,0.00027194229312275866,heavy_ball_lr0.01_m0.5,quadratic_dim2_A20.0_b1.0
26,-0.04999999934693226,6.530677457150524e-10,0.00016162521397817007,heavy_ball_lr0.01_m0.5,quadratic_dim2_A20.0_b1.0
