iteration,loss,suboptimality,grad_norm,optimizer,problem
0,0.0,0.5,1.4142135623730951,gradient_descent_lr0.01,quadratic_dim2_A2.0_b1.0
1,-0.0198,0.4802,1.3859292911256331,gradient_descent_lr0.01,quadratic_dim2_A2.0_b1.0
2,-0.03881592,0.46118408,1.3582107053031205,gradient_descent_lr0.01,quadratic_dim2_A2.0_b1.0
3,-0.057078809568,0.442921190432,1.331046491197058,gradient_descent_lr0.01,quadratic_dim2_A2.0_b1.0
4,-0.0746184887091072,0.4253815112908928,1.3044255613731168,gradient_descent_lr0.01,quadratic_dim2_A2.0_b1.0
5,-0.09146359655622656,0.40853640344377345,1.2783370501456546,gradient_descent_lr0.01,quadratic_dim2_A2.0_b1.0
6,-0.10764163813259998,0.39235836186740003,1.2527703091427416,gradient_descent_lr0.01,quadratic_dim2_A2.0_b1.0
7,-0.12317902926254903,0.37682097073745097,1.2277149029598866,gradient_descent_lr0.01,quadratic_dim2_A2.0_b1.0
8,-0.1381011397037521,0.3618988602962479,1.2031606049006889,gradient_descent_lr0.01,quadratic_dim2_A2.0_b1.0
9,-0.15243233457148353,0.34756766542851647,1.1790973928026751,gradient_descent_lr0.01,quadratic_dim2_A2.0_b1.0
10,-0.16619601412245277,0.3338039858775472,1.1555154449466216,gradient_descent_lr0.01,quadratic_dim2_A2.0_b1.0
11,-0.17941465196320364,0.3205853480367964,1.1324051360476892,gradient_descent_lr0.01,quadratic_dim2_A2.0_b1.0
12,-0.19210983174546079,0.3078901682545392,1.1097570333267355,gradient_descent_lr0.01,quadratic_dim2_A2.0_b1.0
13,-0.20430228240834053,0.29569771759165947,1.0875618926602006,gradient_descent_lr0.01,quadratic_dim2_A2.0_b1.0
14,-0.21601191202497028,0.2839880879750297,1.0658106548069968,gradient_descent_lr0.01,quadratic_dim2_A2.0_b1.0
15,-0.22725784030878143,0.27274215969121857,1.0444944417108568,gradient_descent_lr0.01,quadratic_dim2_A2.0_b1.0
16,-0.23805842983255368,0.26194157016744635,1.0236045528766395,gradient_descent_lr0.01,quadratic_dim2_A2.0_b1.0
17,-0.24843131601118454,0.2515686839888155,1.0031324618191069,gradient_descent_lr0.01,quadratic_dim2_A2.0_b1.0
18,-0.25839343589714164,0.24160656410285836,0.9830698125827246,gradient_descent_lr0.01,quadratic_dim2_A2.0_b1.0
19,-0.2679610558356148,0.2320389441643852,0.9634084163310701,gradient_descent_lr0.01,quadratic_dim2_A2.0_b1.0
20,-0.27714979802452444,0.22285020197547556,0.9441402480044487,gradient_descent_lr0.01,quadratic_dim2_A2.0_b1.0
21,-0.2859746660227533,0.2140253339772467,0.9252574430443599,gradient_descent_lr0.01,quadratic_dim2_A2.0_b1.0
22,-0.29445006924825223,0.20554993075174777,0.9067522941834727,gradient_descent_lr0.01,quadratic_dim2_A2.0_b1.0
23,-0.30258984650602144,0.19741015349397856,0.8886172482998034,gradient_descent_lr0.01,quadratic_dim2_A2.0_b1.0
24,-0.31040728858438305,0.18959271141561695,0.8708449033338072,gradient_descent_lr0.01,quadratic_dim2_A2.0_b1.0
25,-0.3179151599564415,0.18208484004355852,0.8534280052671309,gradient_descent_lr0.01,quadratic_dim2_A2.0_b1.0
26,-0.32512571962216635,0.17487428037783365,0.8363594451617885,gradient_descent_lr0.01,quadratic_dim2_A2.0_b1.0
