iteration,loss,suboptimality,grad_norm,optimizer,problem
43,-0.04999999976841582,2.3158418238633516e-10,9.624638766730299e-05,gradient_descent_lr0.01,quadratic_dim2_A20.0_b1.0
44,-0.049999999851786124,1.482138786701448e-10,7.699711013374819e-05,gradient_descent_lr0.01,quadratic_dim2_A20.0_b1.0
45,-0.049999999905143123,9.485687929577935e-11,6.159768810706135e-05,gradient_descent_lr0.01,quadratic_dim2_A20.0_b1.0
46,-0.0499999999392916,6.070840358196605e-11,4.927815048571189e-05,gradient_descent_lr0.01,quadratic_dim2_A20.0_b1.0
47,-0.049999999961146624,3.8853378847569786e-11,3.942252038856951e-05,gradient_descent_lr0.01,quadratic_dim2_A20.0_b1.0
48,-0.04999999997513384,2.4866164682890712e-11,3.1538016310730004e-05,gradient_descent_lr0.01,quadratic_dim2_A20.0_b1.0
49,-0.04999999998408566,1.5914346229717324e-11,2.5230413048646803e-05,gradient_descent_lr0.01,quadratic_dim2_A20.0_b1.0
50,-0.049999999989814824,1.0185179089017282e-11,2.0184330438948846e-05,gradient_descent_lr0.01,quadratic_dim2_A20.0_b1.0
51,-0.04999999999348149,6.518514894526817e-12,1.6147464351033468e-05,gradient_descent_lr0.01,quadratic_dim2_A20.0_b1.0
52,-0.04999999999582815,4.171850365164431e-12,1.2917971480889577e-05,gradient_descent_lr0.01,quadratic_dim2_A20.0_b1.0
53,-0.049999999997330014,2.6699892297088468e-12,1.0334377184586056e-05,gradient_descent_lr0.01,quadratic_dim2_A20.0_b1.0
54,-0.04999999999829121,1.7087928294579058e-12,8.267501747574638e-06,gradient_descent_lr0.01,quadratic_dim2_A20.0_b1.0
55,-0.04999999999890638,1.0936251904070105e-12,6.614001398153917e-06,gradient_descent_lr0.01,quadratic_dim2_A20.0_b1.0
56,-0.04999999999930008,6.999262280871221e-13,5.291201118428928e-06,gradient_descent_lr0.01,quadratic_dim2_A20.0_b1.0
57,-0.04999999999955205,4.4795417375453894e-13,4.232960894837348e-06,gradient_descent_lr0.01,quadratic_dim2_A20.0_b1.0
58,-0.04999999999971331,2.8669427942773495e-13,3.3863687157756725e-06,gradient_descent_lr0.01,quadratic_dim2_A20.0_b1.0
59,-0.04999999999981652,1.8348517150101884e-13,2.7090949727147438e-06,gradient_descent_lr0.01,quadratic_dim2_A20.0_b1.0
60,-0.04999999999988257,1.1743384042972593e-13,2.1672759780775894e-06,gradient_descent_lr0.01,quadratic_dim2_A20.0_b1.0
61,-0.04999999999992484,7.51620987671231e-14,1.7338207823992679e-06,gradient_descent_lr0.01,quadratic_dim2_A20.0_b1.0
62,-0.0499999999999519,4.810041254188491e-14,1.3870566258880123e-06,gradient_descent_lr0.01,quadratic_dim2_A20.0_b1.0
63,-0.049999999999969215,3.078787225163637e-14,1.1096453006476062e-06,gradient_descent_lr0.01,quadratic_dim2_A20.0_b1.0
64,-0.049999999999980296,1.970645868709653e-14,8.877162406122905e-07,gradient_descent_lr0.01,quadratic_dim2_A20.0_b1.0
65,-0.049999999999987395,1.2607970223399434e-14,7.101729925526361e-07,gradient_descent_lr0.01,quadratic_dim2_A20.0_b1.0
66,-0.049999999999991926,8.076872504148014e-15,5.681383939165016e-07,gradient_descent_lr0.01,quadratic_dim2_A20.0_b1.0
67,-0.04999999999999484,5.162537064506978e-15,4.545107152274067e-07,gradient_descent_lr0.01,quadratic_dim2_A20.0_b1.0
68,-0.04999999999999669,3.309852392163748e-15,3.6360857205631797e-07,gradient_descent_lr0.01,quadratic_dim2_A20.0_b1.0
69,-0.049999999999997886,2.1163626406917047e-15,2.9088685777066177e-07,gradient_descent_lr0.01,quadratic_dim2_A20.0_b1.0
70,-0.04999999999999864,1.3600232051658168e-15,2.3270948631073498e-07,gradient_descent_lr0.01,quadratic_dim2_A20.0_b1.0
71,-0.04999999999999913,8.743006318923108e-16,1.861675889857843e-07,gradient_descent_lr0.01,quadratic_dim2_A20.0_b1.0
72,-0.04999999999999945,5.551115123125783e-16,1.4893407131423482e-07,gradient_descent_lr0.01,quadratic_dim2_A20.0_b1.0
73,-0.04999999999999964,3.608224830031759e-16,1.1914725708278971e-07,gradient_descent_lr0.01,quadratic_dim2_A20.0_b1.0
74,-0.049999999999999774,2.2898349882893854e-16,9.531780572903546e-08,gradient_descent_lr0.01,quadratic_dim2_A20.0_b1.0
75,-0.04999999999999985,1.5265566588595902e-16,7.625424442621913e-08,gradient_descent_lr0.01,quadratic_dim2_A20.0_b1.0
76,-0.049999999999999906,9.71445146547012e-17,6.10033954781716e-08,gradient_descent_lr0.01,quadratic_dim2_A20.0_b1.0
77,-0.04999999999999994,6.245004513516506e-17,4.880271647674283e-08,gradient_descent_lr0.01,quadratic_dim2_A20.0_b1.0
78,-0.04999999999999996,4.163336342344337e-17,3.904217311859057e-08,gradient_descent_lr0.01,quadratic_dim2_A20.0_b1.0
79,-0.049999999999999975,2.7755575615628914e-17,3.123373843206875e-08,gradient_descent_lr0.01,quadratic_dim2_A20.0_b1.0
80,-0.04999999999999999,1.3877787807814457e-17,2.49869908712624e-08,gradient_descent_lr0.01,quadratic_dim2_A20.0_b1.0
81,-0.04999999999999999,1.3877787807814457e-17,1.9989592571402525e-08,gradient_descent_lr0.01,quadratic_dim2_A20.0_b1.0
82,-0.04999999999999999,1.3877787807814457e-17,1.5991673994318322e-08,gradient_descent_lr0.01,quadratic_dim2_A20.0_b1.0
83,-0.049999999999999996,6.938893903907228e-18,1.2793339132650958e-08,gradient_descent_lr0.01,quadratic_dim2_A20.0_b1.0
84,-0.049999999999999996,6.938893903907228e-18,1.0234671400326314e-08,gradient_descent_lr0.01,quadratic_dim2_A20.0_b1.0
85,-0.05,0.0,8.187737151662901e-09,gradient_descent_lr0.01,quadratic_dim2_A20.0_b1.0
86,-0.049999999999999996,6.938893903907228e-18,6.550189752732169e-09,gradient_descent_lr0.01,quadratic_dim2_A20.0_b1.0
87,-0.05,0.0,5.240151707980188e-09,gradient_descent_lr0.01,quadratic_dim2_A20.0_b1.0
88,-0.05,0.0,4.1921212721786025e-09,gradient_descent_lr0.01,quadratic_dim2_A20.0_b1.0
89,-0.05,0.0,3.3536970805465806e-09,gradient_descent_lr0.01,quadratic_dim2_A20.0_b1.0
90,-0.05,0.0,2.6829576644372643e-09,gradient_descent_lr0.01,quadratic_dim2_A20.0_b1.0
91,-0.05,0.0,2.1463661629516606e-09,gradient_descent_lr0.01,quadratic_dim2_A20.0_b1.0
92,-0.049999999999999996,6.938893903907228e-18,1.717092836155781e-09,gradient_descent_lr0.01,quadratic_dim2_A20.0_b1.0
93,-0.049999999999999996,6.938893903907228e-18,1.3736743631301725e-09,gradient_descent_lr0.01,quadratic_dim2_A20.0_b1.0
94,-0.049999999999999996,6.938893903907228e-18,1.0989395847096855e-09,gradient_descent_lr0.01,quadratic_dim2_A20.0_b1.0
95,-0.049999999999999996,6.938893903907228e-18,8.791517619732959e-10,gradient_descent_lr0.01,quadratic_dim2_A20.0_b1.0
96,-0.05,0.0,7.033215037841842e-10,gradient_descent_lr0.01,quadratic_dim2_A20.0_b1.0
97,-0.05,0.0,5.626570774199507e-10,gradient_descent_lr0.01,quadratic_dim2_A20.0_b1.0
98,-0.049999999999999996,6.938893903907228e-18,4.5012556773041305e-10,gradient_descent_lr0.01,quadratic_dim2_A20.0_b1.0
99,-0.049999999999999996,6.938893903907228e-18,3.6010039138063207e-10,gradient_descent_lr0.01,quadratic_dim2_A20.0_b1.0
100,-0.049999999999999996,6.938893903907228e-18,2.880802503008073e-10,gradient_descent_lr0.01,quadratic_dim2_A20.0_b1.0
