iteration,loss,suboptimality,grad_norm,optimizer,problem
0,0.0,0.05,1.4142135623730951,heavy_ball_lr0.01_m0.9,quadratic_dim2_A20.0_b1.0
1,-0.018000000000000002,0.032,1.1313708498984762,heavy_ball_lr0.01_m0.9,quadratic_dim2_A20.0_b1.0
2,-0.039420000000000004,0.010579999999999999,0.6505382386916236,heavy_ball_lr0.01_m0.9,quadratic_dim2_A20.0_b1.0
3,-0.0498078,0.00019220000000000348,0.08768124086713182,heavy_ball_lr0.01_m0.9,quadratic_dim2_A20.0_b1.0
4,-0.04523830200000001,0.004761697999999995,0.4364263053483371,heavy_ball_lr0.01_m0.9,quadratic_dim2_A20.0_b1.0
5,-0.03315563117999999,0.01684436882000001,0.8208378358725921,heavy_ball_lr0.01_m0.9,quadratic_dim2_A20.0_b1.0
6,-0.024867793366200014,0.02513220663379999,1.0026406461699027,heavy_ball_lr0.01_m0.9,quadratic_dim2_A20.0_b1.0
7,-0.026683895513358008,0.023316104486641995,0.9657350462035019,heavy_ball_lr0.01_m0.9,quadratic_dim2_A20.0_b1.0
8,-0.036333189282938216,0.013666810717061786,0.7393729969930409,heavy_ball_lr0.01_m0.9,quadratic_dim2_A20.0_b1.0
9,-0.04624081117258269,0.003759188827417312,0.38777255330501764,heavy_ball_lr0.01_m0.9,quadratic_dim2_A20.0_b1.0
10,-0.049999032056935164,9.679430648390497e-07,0.006222356675206678,heavy_ball_lr0.01_m0.9,quadratic_dim2_A20.0_b1.0
11,-0.046767675970467354,0.003232324029532649,0.3595733043223673,heavy_ball_lr0.01_m0.9,quadratic_dim2_A20.0_b1.0
12,-0.04082896011207193,0.00917103988792807,0.6056744963403383,heavy_ball_lr0.01_m0.9,quadratic_dim2_A20.0_b1.0
13,-0.03753801732942185,0.012461982670578152,0.7060306698884448,heavy_ball_lr0.01_m0.9,quadratic_dim2_A20.0_b1.0
14,-0.03926962270729935,0.010730377292700655,0.6551450921040516,heavy_ball_lr0.01_m0.9,quadratic_dim2_A20.0_b1.0
15,-0.044280272072231605,0.005719727927768398,0.4783190536772874,heavy_ball_lr0.01_m0.9,quadratic_dim2_A20.0_b1.0
